Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1120","spr1032","VBIStrPne107296_1120","PATRIC.171101.6.NC_003098.CDS.1014454.1015887.fwd","PATRIC","CDS",1014454,1015887,1434,"+","FIG00134135","PLF_1301_00000918","PGF_00008876","NP_358626.1",477,"glgA","Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)","GO:0009011|starch synthase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.112","spr0093","VBIStrPne107296_0112","PATRIC.171101.6.NC_003098.CDS.101463.102095.rev","PATRIC","CDS",101463,102095,633,"-","FIG00003555","PLF_1301_00001273","PGF_10460277","NP_357687.1",210,"gph","Phosphoglycolate phosphatase (EC 3.1.3.18)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1121","spr1033","VBIStrPne107296_1121","PATRIC.171101.6.NC_003098.CDS.1016262.1016591.fwd","PATRIC","CDS",1016262,1016591,330,"+","FIG00000149","PLF_1301_00001774","PGF_03116802","NP_358627.1",109,"serB-truncation","Phosphoserine phosphatase (EC 3.1.3.3)","GO:0004647|phosphoserine phosphatase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1122","spr1034","VBIStrPne107296_1122","PATRIC.171101.6.NC_003098.CDS.1016600.1017715.fwd","PATRIC","CDS",1016600,1017715,1116,"+","FIG00000456","PLF_1301_00001315","PGF_06728837","NP_358628.1",371,"glxK","Glycerate kinase (EC 2.7.1.31)","GO:0008887|glycerate kinase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1123","spr1035","VBIStrPne107296_1123","PATRIC.171101.6.NC_003098.CDS.1017712.1018158.rev","PATRIC","CDS",1017712,1018158,447,"-","FIG01114090","PLF_1301_00001424","PGF_06320606","NP_358629.1",148,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1124","spr1036","VBIStrPne107296_1124","PATRIC.171101.6.NC_003098.CDS.1018322.1019626.fwd","PATRIC","CDS",1018322,1019626,1305,"+","FIG00000118","PLF_1301_00000263","PGF_02516909","NP_358630.1",434,"eno","Enolase (EC 4.2.1.11)","GO:0004634|phosphopyruvate hydratase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1125",,"VBIStrPne107296_1125","PATRIC.171101.6.NC_003098.CDS.1020102.1020200.rev","PATRIC","CDS",1020102,1020200,99,"-","FIG01117820","PLF_1301_00001739","PGF_03496256",,32,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1126","spr1037","VBIStrPne107296_1126","PATRIC.171101.6.NC_003098.CDS.1020110.1020448.rev","PATRIC","CDS",1020110,1020448,339,"-","FIG01306568","PLF_1301_00094114","PGF_01000105","NP_358631.1",112,"transposase_B","Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1127","spr1038","VBIStrPne107296_1127","PATRIC.171101.6.NC_003098.CDS.1020607.1020957.rev","PATRIC","CDS",1020607,1020957,351,"-","FIG01306568","PLF_1301_00001252","PGF_01000105","NP_358632.1",116,"transposase_A","Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.113","spr0094","VBIStrPne107296_0113","PATRIC.171101.6.NC_003098.CDS.102117.102989.rev","PATRIC","CDS",102117,102989,873,"-","FIG00001440","PLF_1301_00000495","PGF_00016223","NP_357688.1",290,"sdaA","L-serine dehydratase, alpha subunit (EC 4.3.1.17)","GO:0003941|L-serine ammonia-lyase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1128","spr1039","VBIStrPne107296_1128","PATRIC.171101.6.NC_003098.CDS.1021458.1024757.fwd","PATRIC","CDS",1021458,1024757,3300,"+","FIG00052730","PLF_1301_00001039","PGF_06122323","NP_358633.1",1099,"rexB","ATP-dependent helicase/nuclease AddAB, subunit B",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1129","spr1040","VBIStrPne107296_1129","PATRIC.171101.6.NC_003098.CDS.1024754.1028404.fwd","PATRIC","CDS",1024754,1028404,3651,"+","FIG00001547","PLF_1301_00000962","PGF_00019221","NP_358634.1",1216,"rexA","ATP-dependent helicase/nuclease AddAB, subunit A",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1130",,"VBIStrPne107296_1130","PATRIC.171101.6.NC_003098.CDS.1028366.1028488.rev","PATRIC","CDS",1028366,1028488,123,"-",,"PLF_1301_00135991","PGF_08225224",,40,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1131",,"VBIStrPne107296_1131","PATRIC.171101.6.NC_003098.CDS.1028415.1028561.fwd","PATRIC","CDS",1028415,1028561,147,"+","FIG01349059","PLF_1301_00032034","PGF_03497629",,48,,"BOX elements",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1132","spr1041","VBIStrPne107296_1132","PATRIC.171101.6.NC_003098.CDS.1028574.1029752.fwd","PATRIC","CDS",1028574,1029752,1179,"+","FIG01114684","PLF_1301_00001218","PGF_08225224","NP_358635.1",392,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1133","spr1042","VBIStrPne107296_1133","PATRIC.171101.6.NC_003098.CDS.1029961.1035852.fwd","PATRIC","CDS",1029961,1035852,5892,"+","FIG01114525","PLF_1301_00000608","PGF_00283618","NP_358636.1",1963,"iga","IgA-specific metalloendopeptidase (EC 3.4.24.13)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.114","spr0095","VBIStrPne107296_0114","PATRIC.171101.6.NC_003098.CDS.102998.103669.rev","PATRIC","CDS",102998,103669,672,"-","FIG00010818","PLF_1301_00000530","PGF_00016224","NP_357689.1",223,"sdaB","L-serine dehydratase, beta subunit (EC 4.3.1.17)","GO:0003941|L-serine ammonia-lyase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.11","spr0010","VBIStrPne107296_0011","PATRIC.171101.6.NC_003098.CDS.10335.11612.fwd","PATRIC","CDS",10335,11612,1278,"+","FIG00000257","PLF_1301_00001253","PGF_09087715","NP_357604.1",425,,"tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1134","spr1043","VBIStrPne107296_1134","PATRIC.171101.6.NC_003098.CDS.1036311.1037162.fwd","PATRIC","CDS",1036311,1037162,852,"+","FIG00000840","PLF_1301_00000339","PGF_00426877","NP_358637.1",283,"rbgA","LSU ribosomal maturation GTPase RbgA (B. subtilis YlqF)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1135","spr1044","VBIStrPne107296_1135","PATRIC.171101.6.NC_003098.CDS.1037149.1037928.fwd","PATRIC","CDS",1037149,1037928,780,"+","FIG00000126","PLF_1301_00000409","PGF_00048556","NP_358638.1",259,"rnhB","Ribonuclease HII (EC 3.1.26.4)","GO:0004523|ribonuclease H activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1136","spr1045","VBIStrPne107296_1136","PATRIC.171101.6.NC_003098.CDS.1037944.1039494.fwd","PATRIC","CDS",1037944,1039494,1551,"+","FIG01342247","PLF_1301_00109117","PGF_07370370","NP_358639.1",516,,"Voltage-gated H(+)/2Cl(-) exchange transporter ClcA",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.115","spr0096","VBIStrPne107296_0115","PATRIC.171101.6.NC_003098.CDS.103911.104414.fwd","PATRIC","CDS",103911,104414,504,"+","FIG01335248","PLF_1301_00001201","PGF_00036961","NP_357690.1",167,,"Aggregation promoting factor",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1137","spr1046","VBIStrPne107296_1137","PATRIC.171101.6.NC_003098.CDS.1040078.1041148.fwd","PATRIC","CDS",1040078,1041148,1071,"+","FIG00600726","PLF_1301_00013226","PGF_00014933","NP_358640.1",356,"xerS","Integrase/recombinase xerD",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1138","spr1047","VBIStrPne107296_1138","PATRIC.171101.6.NC_003098.CDS.1041221.1042210.rev","PATRIC","CDS",1041221,1042210,990,"-","FIG00000465","PLF_1301_00000974","PGF_03677192","NP_358641.1",329,"lplA","Lipoate-protein ligase A","GO:0003824|catalytic activity;GO:0006464|protein modification process"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1139","spr1048","VBIStrPne107296_1139","PATRIC.171101.6.NC_003098.CDS.1042274.1043959.rev","PATRIC","CDS",1042274,1043959,1686,"-","FIG00133226","PLF_1301_00001209","PGF_12884219","NP_358642.1",561,"acoL","Lipoate carrier protein / Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)","GO:0004148|dihydrolipoyl dehydrogenase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1140","spr1049","VBIStrPne107296_1140","PATRIC.171101.6.NC_003098.CDS.1044023.1045066.rev","PATRIC","CDS",1044023,1045066,1044,"-","FIG00001753","PLF_1301_00001255","PGF_01915472","NP_358643.2",347,"acoC","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)","GO:0004742|dihydrolipoyllysine-residue acetyltransferase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1141","spr1050","VBIStrPne107296_1141","PATRIC.171101.6.NC_003098.CDS.1045284.1046276.rev","PATRIC","CDS",1045284,1046276,993,"-","FIG01270039","PLF_1301_00001206","PGF_03145455","NP_358644.1",330,"acoB","Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)","GO:0004739|pyruvate dehydrogenase (acetyl-transferring) activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.116","spr0097","VBIStrPne107296_0116","PATRIC.171101.6.NC_003098.CDS.104537.104785.rev","PATRIC","CDS",104537,104785,249,"-","FIG01114191","PLF_1301_00135431","PGF_08225224","NP_357691.1",82,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1142","spr1051","VBIStrPne107296_1142","PATRIC.171101.6.NC_003098.CDS.1046292.1047260.rev","PATRIC","CDS",1046292,1047260,969,"-","FIG00138523","PLF_1301_00001174","PGF_00502238","NP_358645.1",322,"acoA","Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)","GO:0004739|pyruvate dehydrogenase (acetyl-transferring) activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1143",,"VBIStrPne107296_1143","PATRIC.171101.6.NC_003098.CDS.1047307.1047417.fwd","PATRIC","CDS",1047307,1047417,111,"+","FIG01114105","PLF_1301_00009593","PGF_03534519",,36,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1144","spr1052","VBIStrPne107296_1144","PATRIC.171101.6.NC_003098.CDS.1047414.1048775.rev","PATRIC","CDS",1047414,1048775,1362,"-","FIG01311313","PLF_1301_00000952","PGF_05837706","NP_358646.1",453,,"Na+-driven multidrug efflux pump",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1145","spr1053","VBIStrPne107296_1145","PATRIC.171101.6.NC_003098.CDS.1049060.1050328.rev","PATRIC","CDS",1049060,1050328,1269,"-","FIG00000032","PLF_1301_00000568","PGF_00423378","NP_358647.1",422,"pyrC","Dihydroorotase (EC 3.5.2.3)","GO:0004151|dihydroorotase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1146","spr1054","VBIStrPne107296_1146","PATRIC.171101.6.NC_003098.CDS.1050341.1050805.rev","PATRIC","CDS",1050341,1050805,465,"-","FIG00000892","PLF_1301_00000475","PGF_00023476","NP_358648.1",154,"mutX","Mutator MutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)","GO:0004787|thiamine-pyrophosphatase activity;GO:0004787|8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity;GO:0004787|UDP-2,3-diacylglucosamine hydrolase activity;GO:0004787|bis(5'-nucleosyl)-tetraphosphatase activity;GO:0004787|dATP pyrophosphohydrolase activity;GO:0004787|pyrophosphatase activity;GO:0004787|dihydroneopterin monophosphate phosphatase activity;GO:0004787|dihydroneopterin triphosphate pyrophosphohydrolase activity;GO:0004787|dITP diphosphatase activity;GO:0004787|dTTP diphosphatase activity;GO:0004787|XTP diphosphatase activity;GO:0004787|ATP-dependent 5'-3' DNA helicase activity;GO:0004787|phosphocholine hydrolase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1147","spr1055","VBIStrPne107296_1147","PATRIC.171101.6.NC_003098.CDS.1050815.1051468.rev","PATRIC","CDS",1050815,1051468,654,"-","FIG00000538","PLF_1301_00000318","PGF_00066139","NP_358649.1",217,"ung","Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1148","spr1056","VBIStrPne107296_1148","PATRIC.171101.6.NC_003098.CDS.1051604.1052251.rev","PATRIC","CDS",1051604,1052251,648,"-","FIG01114129","PLF_1301_00001108","PGF_05669257","NP_358650.1",215,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1149","spr1057","VBIStrPne107296_1149","PATRIC.171101.6.NC_003098.CDS.1052265.1052978.rev","PATRIC","CDS",1052265,1052978,714,"-","FIG00001529","PLF_1301_00001036","PGF_00674361","NP_358651.1",237,,"2-haloalkanoic acid dehalogenase (EC 3.8.1.2)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.117","spr0098","VBIStrPne107296_0117","PATRIC.171101.6.NC_003098.CDS.105242.105490.fwd","PATRIC","CDS",105242,105490,249,"+","FIG01346919","PLF_1301_00001834","PGF_03496519","NP_357692.1",82,,"bacteriocin, putative",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1150","spr1058","VBIStrPne107296_1150","PATRIC.171101.6.NC_003098.CDS.1053436.1053582.rev","PATRIC","CDS",1053436,1053582,147,"-","FIG00054739","PLF_1301_00000885","PGF_00033417","NP_358652.1",48,,"Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM; DHA-specific IIA component",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1151","spr1059","VBIStrPne107296_1151","PATRIC.171101.6.NC_003098.CDS.1053664.1053816.rev","PATRIC","CDS",1053664,1053816,153,"-","FIG00054739","PLF_1301_00000885","PGF_00033417","NP_358653.1",50,,"Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM; DHA-specific IIA component",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1152","spr1060","VBIStrPne107296_1152","PATRIC.171101.6.NC_003098.CDS.1054238.1056772.rev","PATRIC","CDS",1054238,1056772,2535,"-","FIG01119497","PLF_1301_00000016","PGF_00054234","NP_358654.1",844,"phpA","Streptococcal histidine triad protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.118","spr0099","VBIStrPne107296_0118","PATRIC.171101.6.NC_003098.CDS.105545.107653.fwd","PATRIC","CDS",105545,107653,2109,"+","FIG01317667","PLF_1301_00096759","PGF_00042109","NP_357693.1",702,"ABC-MSP","Putative membrane-spanning protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1153","spr1061","VBIStrPne107296_1153","PATRIC.171101.6.NC_003098.CDS.1056930.1059380.rev","PATRIC","CDS",1056930,1059380,2451,"-","FIG01119497","PLF_1301_00043240","PGF_00054234","NP_358655.1",816,"phtA","Streptococcal histidine triad protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1154","spr1062","VBIStrPne107296_1154","PATRIC.171101.6.NC_003098.CDS.1059635.1061368.rev","PATRIC","CDS",1059635,1061368,1734,"-","FIG00028694","PLF_1301_00000188","PGF_00033423","NP_358656.1",577,"ptsI","Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)","GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1155","spr1063","VBIStrPne107296_1155","PATRIC.171101.6.NC_003098.CDS.1061374.1061637.rev","PATRIC","CDS",1061374,1061637,264,"-","FIG01954533","PLF_1301_00000261","PGF_08051111","NP_358657.1",87,"ptsH","Phosphotransferase system, phosphocarrier protein HPr",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1156","spr1064","VBIStrPne107296_1156","PATRIC.171101.6.NC_003098.CDS.1061988.1062206.fwd","PATRIC","CDS",1061988,1062206,219,"+","FIG00003291","PLF_1301_00001100","PGF_03022650","NP_358658.1",72,"nrdH","Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1157","spr1065","VBIStrPne107296_1157","PATRIC.171101.6.NC_003098.CDS.1062287.1064446.fwd","PATRIC","CDS",1062287,1064446,2160,"+","FIG00001069","PLF_1301_00000273","PGF_00048640","NP_358659.1",719,"nrdE","Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)","GO:0004748|ribonucleoside-diphosphate reductase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1158","spr1066","VBIStrPne107296_1158","PATRIC.171101.6.NC_003098.CDS.1064634.1065596.fwd","PATRIC","CDS",1064634,1065596,963,"+","FIG00000960","PLF_1301_00000295","PGF_00048641","NP_358660.1",320,"nrdF","Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)","GO:0004748|ribonucleoside-diphosphate reductase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1159","spr1067","VBIStrPne107296_1159","PATRIC.171101.6.NC_003098.CDS.1065778.1066539.fwd","PATRIC","CDS",1065778,1066539,762,"+","FIG00002891","PLF_1301_00001481","PGF_00016518","NP_358661.1",253,"lacR","Lactose phosphotransferase system repressor",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1160",,"VBIStrPne107296_1160","PATRIC.171101.6.NC_003098.CDS.1066809.1066994.rev","PATRIC","CDS",1066809,1066994,186,"-","FIG01117075","PLF_1301_00001709","PGF_00314061",,61,,"hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1161","spr1069","VBIStrPne107296_1161","PATRIC.171101.6.NC_003098.CDS.1067037.1068443.rev","PATRIC","CDS",1067037,1068443,1407,"-","FIG00003507","PLF_1301_00143330","PGF_00427152","NP_358662.1",468,"lacG","6-phospho-beta-galactosidase (EC 3.2.1.85)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1162","spr1070","VBIStrPne107296_1162","PATRIC.171101.6.NC_003098.CDS.1068652.1070343.rev","PATRIC","CDS",1068652,1070343,1692,"-","FIG00132623","PLF_1301_00000552","PGF_00029744","NP_358663.1",563,"lacE","PTS system, lactose-specific IIB component (EC 2.7.1.207) / PTS system, lactose-specific IIC component",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1163","spr1071","VBIStrPne107296_1163","PATRIC.171101.6.NC_003098.CDS.1070343.1070660.rev","PATRIC","CDS",1070343,1070660,318,"-","FIG00003655","PLF_1301_00000626","PGF_00029743","NP_358664.1",105,"lacF","PTS system, lactose-specific IIA component (EC 2.7.1.207)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1164","spr1072","VBIStrPne107296_1164","PATRIC.171101.6.NC_003098.CDS.1070696.1071532.rev","PATRIC","CDS",1070696,1071532,837,"-","FIG00001011","PLF_1301_00000897","PGF_03514578","NP_358665.1",278,"lacT","Beta-glucoside bgl operon antiterminator, BglG family","GO:0003723|RNA binding"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1165","spr1073","VBIStrPne107296_1165","PATRIC.171101.6.NC_003098.CDS.1071766.1072746.rev","PATRIC","CDS",1071766,1072746,981,"-","FIG01956032","PLF_1301_00000062","PGF_00055985","NP_358666.1",326,"lacD","Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1166","spr1074","VBIStrPne107296_1166","PATRIC.171101.6.NC_003098.CDS.1072748.1073677.rev","PATRIC","CDS",1072748,1073677,930,"-","FIG00229360","PLF_1301_00006238","PGF_10567595","NP_358667.1",309,"lacC","Tagatose-6-phosphate kinase (EC 2.7.1.144)","GO:0009024|tagatose-6-phosphate kinase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1167","spr1075","VBIStrPne107296_1167","PATRIC.171101.6.NC_003098.CDS.1073688.1074203.rev","PATRIC","CDS",1073688,1074203,516,"-","FIG00002376","PLF_1301_00000084","PGF_00007122","NP_358668.1",171,"lacB","Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1168","spr1076","VBIStrPne107296_1168","PATRIC.171101.6.NC_003098.CDS.1074234.1074659.rev","PATRIC","CDS",1074234,1074659,426,"-","FIG00002321","PLF_1301_00000086","PGF_00007121","NP_358669.1",141,"lacA","Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1169","spr1077","VBIStrPne107296_1169","PATRIC.171101.6.NC_003098.CDS.1074817.1075161.rev","PATRIC","CDS",1074817,1075161,345,"-","FIG00628239","PLF_1301_00001624","PGF_03495996","NP_358670.1",114,"lacX-truncation","hypothetical protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1170","spr1078","VBIStrPne107296_1170","PATRIC.171101.6.NC_003098.CDS.1075330.1075629.rev","PATRIC","CDS",1075330,1075629,300,"-","FIG01306568","PLF_1301_00000009","PGF_01000105","NP_358671.1",99,"IS1381-truncation","Mobile element protein",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1171","spr1079","VBIStrPne107296_1171","PATRIC.171101.6.NC_003098.CDS.1075659.1076132.rev","PATRIC","CDS",1075659,1076132,474,"-","FIG01306568","PLF_1301_00135556","PGF_00996068","NP_358672.1",157,"IS1381-truncation","IS1381, transposase OrfA",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1172","spr1080","VBIStrPne107296_1172","PATRIC.171101.6.NC_003098.CDS.1076140.1076442.rev","PATRIC","CDS",1076140,1076442,303,"-","FIG00006075","PLF_1301_00000023","PGF_00029517","NP_358673.1",100,,"PTS system, galactose-specific IIB component (EC 2.7.1.204)",
