,mean cluster ratio,mean fractional difference,mean fractional importance,species count,zero-weighted difference,zero-weighted importance,reaction string,subsystem class,subsystem sub-class,subsystem,role
rxn13141,0.06758526077150233,0.029799364409453345,0.0040567668426511536,6,0.006165385739886899,0.0008393310708933421,H2O + D-Glucosamine1-phosphate <=> NH3 + D-fructose-6-phosphate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn05466,0.0775523514765384,0.03854232229847672,0.002462508838889338,10,0.013290455964991973,0.000849140978927358,NH3 <=> NH3,"['Experimental Subsystems', 'Nitrogen Metabolism']","['-', '-']","['Transporters_In_Models', 'Ammonia_assimilation']","['Ammonium transporter', 'Ammonium transporter']"
rxn00487,0.07858216596588297,0.02909903514150175,0.004809582241468259,1,0.0010034150048793707,0.0001658476634989055,H2O + NAD + L-Phenylalanine <=> NADH + NH3 + H+ + Phenylpyruvate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn00726,0.083876437238383,0.025541321113943694,0.003223107837274697,1,0.0008807352108256446,0.00011114164956119644,NH3 + Chorismate --> H2O + Pyruvate + H+ + Anthranilate,"['Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Virulence', 'Virulence']","['Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', '-', '-']","['Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.', 'Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.', 'Tryptophan_synthesis', 'Tryptophan_synthesis', 'Pseudomonas_quinolone_signal_PQS', 'Pseudomonas_quinolone_signal_PQS']","['Anthranilate synthase, amidotransferase component (EC 4.1.3.27)', 'Anthranilate synthase, aminase component (EC 4.1.3.27)', 'Anthranilate synthase, amidotransferase component (EC 4.1.3.27)', 'Anthranilate synthase, aminase component (EC 4.1.3.27)', 'Anthranilate synthase, amidotransferase component (EC 4.1.3.27)', 'Anthranilate synthase, aminase component (EC 4.1.3.27)']"
rxn01132,0.08394172800340656,0.0005249662640015145,0.00035215184240574383,3,5.4306854896708395e-05,3.6429500938525225e-05,Phosphate + Maltose <=> D-Glucose + beta-D-Glucose 1-phosphate,"['Carbohydrates', 'Carbohydrates', 'Carbohydrates', 'Experimental Subsystems']","['Di- and oligosaccharides', 'Di- and oligosaccharides', 'Di- and oligosaccharides', '-']","['Maltose_and_Maltodextrin_Utilization', 'Trehalose_Biosynthesis', 'Trehalose_Uptake_and_Utilization', 'Sugar_catabolome_in_Shewanella_species']","['Maltose phosphorylase (EC 2.4.1.8)', 'Trehalose phosphorylase (EC 2.4.1.64)', 'Trehalose phosphorylase (EC 2.4.1.64)', 'Trehalose phosphorylase (EC 2.4.1.64)']"
rxn19903,0.08527314596454239,0.049590177159637316,0.003613087012191499,1,0.001710006108953011,0.00012458920731694826,L-Homoserine --> NH3 + 2-Oxobutyrate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn02866,0.08752677829755601,0.0015585315904003351,0.0007409713791376234,2,0.00010748493726898863,5.1101474423284374e-05,FADH2 + Dimethylacryloyl-CoA --> FAD + H+ + Isovaleryl-CoA,"['Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives']","['Branched-chain amino acids', 'Branched-chain amino acids', 'Branched-chain amino acids']","['Branched_chain_amino_acid_degradation_regulons', 'HMG_CoA_Synthesis', 'Leucine_Degradation_and_HMG-CoA_Metabolism']","['Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)', 'Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)', 'Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)']"
rxn30012,0.0926742089112067,0.016503486066354715,0.002017958887518793,3,0.001707257179278074,0.0002087543676743579,"H2O + H+ + 2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone --> 5-Amino-6--5-phosphoribosylaminouracil + NH4+",['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn05156,0.09379806972806587,0.006183226320027005,0.0017888747226180277,2,0.00042642940138117274,0.0001233706705253812,H2O + ATP + Ornithine --> ADP + Phosphate + Ornithine + H+,"['Amino Acids and Derivatives', 'Experimental Subsystems']","['Arginine; urea cycle, polyamines', '-']","['Arginine_and_Ornithine_Degradation', 'Transporters_In_Models']","['Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)', 'Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)']"
rxn00493,0.09456859553056085,0.010310110039046111,0.0021823390714923595,1,0.00035552103582917624,7.525307143077101e-05,2-Oxoglutarate + L-Phenylalanine <=> L-Glutamate + Phenylpyruvate,"['Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Experimental Subsystems', 'Experimental Subsystems', 'Experimental Subsystems', 'Experimental Subsystems', 'Experimental Subsystems', 'Metabolism of Aromatic Compounds', 'Metabolism of Aromatic Compounds']","['Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Histidine Metabolism', 'Folate and pterines', 'Folate and pterines', '-', '-', '-', '-', '-', 'Metabolism of central aromatic intermediates', 'Metabolism of central aromatic intermediates']","['Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress', 'Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress', 'Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress', 'Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress', 'Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate', 'Phenylalanine_synthesis', 'Histidine_Biosynthesis', 'Pterin_carbinolamine_dehydratase', 'Pterin_metabolism_3', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)', 'XXBOB', 'Homogentisate_pathway_of_aromatic_compound_degradation', 'Homogentisate_pathway_of_aromatic_compound_degradation']","['Aromatic-amino-acid aminotransferase (EC 2.6.1.57)', 'Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)', 'Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)', 'Histidinol-phosphate aminotransferase (EC 2.6.1.9)', 'Periplasmic aromatic amino acid aminotransferase beta precursor (EC 2.6.1.57)', 'Aromatic amino acid aminotransferase gamma (EC 2.6.1.57)', 'Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)', 'Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)', 'Periplasmic aromatic amino acid aminotransferase beta precursor (EC 2.6.1.57)', 'Aromatic-amino-acid aminotransferase (EC 2.6.1.57)', 'Histidinol-phosphate aminotransferase (EC 2.6.1.9)', 'Aromatic-amino-acid aminotransferase (EC 2.6.1.57)', 'Aromatic-amino-acid aminotransferase (EC 2.6.1.57)', 'Aromatic amino acid aminotransferase gamma (EC 2.6.1.57)', 'Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)', 'Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)', 'Periplasmic aromatic amino acid aminotransferase beta precursor (EC 2.6.1.57)', 'Histidinol-phosphate aminotransferase (EC 2.6.1.9)', 'Aromatic-amino-acid aminotransferase (EC 2.6.1.57)', 'Histidinol-phosphate aminotransferase (EC 2.6.1.9)']"
rxn01256,0.09521862418436668,0.09280841304292385,0.004520559752950301,12,0.0384034812591409,0.0018705764494966763,Chorismate --> Prephenate,"['Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Experimental Subsystems', 'Experimental Subsystems', 'Experimental Subsystems']","['Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives', '-', '-', '-']","['Chorismate_Synthesis', 'Chorismate_Synthesis', 'Chorismate_Synthesis', 'Chorismate_Synthesis', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate', 'Phenylalanine_synthesis', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)', 'Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)']","['Chorismate mutase (EC 5.4.99.5)', 'Chorismate mutase II (EC 5.4.99.5)', 'Chorismate mutase III (EC 5.4.99.5)', 'Periplasmic chorismate mutase I precursor (EC 5.4.99.5)', 'Chorismate mutase II (EC 5.4.99.5)', 'Chorismate mutase III (EC 5.4.99.5)', 'Periplasmic chorismate mutase I precursor (EC 5.4.99.5)', 'Chorismate mutase (EC 5.4.99.5)', 'Chorismate mutase II (EC 5.4.99.5)', 'Chorismate mutase III (EC 5.4.99.5)', 'Periplasmic chorismate mutase I precursor (EC 5.4.99.5)']"
rxn15881,0.09640896938752141,0.019164580949846258,0.0024746103238172234,4,0.002643390475840863,0.0003413255619058239,ATP + N-Acetyl-beta-D-galactosamine --> ADP + N-Acetyl-D-galactosamine 1-phosphate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn28575,0.09696648143611691,0.015836480043267234,0.002055215089550563,4,0.0021843420749334116,0.0002834779433862846,N-Acetyl-beta-D-galactosamine <=> N-Acetyl-beta-D-galactosamine,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn09462,0.10088563783198942,0.07273658010562412,0.0033040385134245004,4,0.010032631738706775,0.0004557294501275173,3.0 H2O + 3.0 NAD + 3.0 O2 + 3.0 CoA + Octanoyl-CoA <=> 3.0 NADH + 4.0 Acetyl-CoA + 3.0 H2O2 + 3.0 H+,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn00705,0.10113062046351969,0.008737451883860237,0.0023649418611523094,3,0.000903874332813128,0.0002446491580502389,"2.0 H+ + 2.0 Glucose-1-phosphate <=> D-Glucose + alpha-D-glucose-1,6-biphosphate",['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
