	mean fractional importance	mean cluster ratio	reaction count
Protein_Acetylation_and_Deacetylation_in_Bacteria	0.0072047239799362065	0.6816332461493751	1
Lysine_degradation	0.007164913265117781	0.9504386501290526	5
Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle	0.007138198613194671	0.42861941310804025	1
Glutathione:_gamma-glutamyl_cycle	0.007138198613194671	0.42861941310804025	1
Butanol_Biosynthesis	0.007071690972149998	0.8223234232401425	6
Pentose_phosphate_pathway	0.007036495708311189	0.531611611244935	3
De_Novo_Purine_Biosynthesis	0.006771079587128424	0.3653853293840734	3
Staphylococcus_aureus_hypothetical_repetitive_gene_loci	0.006761941242320802	0.9155589704187476	1
Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	0.006652175668102833	0.6382341197536392	11
PnuC-like_transporters	0.0065864380736678375	0.8995722470763676	2
CBSS-176279.3.peg.298	0.006324855317696072	0.8768368516953213	3
Ketoisovalerate_oxidoreductase	0.006175075697862956	0.5261893327842522	2
2-oxoisovalerate_to_2-isopropyl-3-oxosuccinate_module	0.006061071863664934	0.14377682403433467	1
Leucine_Biosynthesis	0.006061071863664934	0.14377682403433467	1
Arginine_and_Ornithine_Degradation	0.005869051923897048	0.5228121292664668	14
Purine_conversions	0.0058165368941930674	0.8075574546325129	15
Vibrioferrin_synthesis	0.005725951223229559	0.46260139044917425	1
ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	0.005725951223229559	0.4626013904491743	3
Experimental-Ubiquinone_BiosynthesisVDC	0.0056733818943756	0.7058272950312509	1
Ubiquinone_Biosynthesis	0.0056733818943756	0.7058272950312509	1
Dihydroxyacetone_kinases	0.005640299841777404	0.501256831721336	4
Fermentations:_Mixed_acid	0.005557554348683953	0.7684790538203858	10
Alpha-Amylase_locus_in_Streptocococcus	0.005419894077455435	0.49774092072573467	1
Bacterial_Chemotaxis	0.005419894077455435	0.49774092072573467	1
CR_clusters_Euk_1	0.005278314069208706	0.5962865019273362	2
Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	0.005164183548999779	0.4557483980814146	1
Pyruvate:ferredoxin_oxidoreductase	0.005145427415789707	0.3707454194191292	7
Methionine_Biosynthesis	0.0051404053325868546	0.409114537353602	6
Transporters_In_Models	0.005111894530118976	0.5529660046243956	129
COG0277	0.005061215011128943	0.8114165726231661	1
Experimental-FO	0.005061215011128943	0.8114165726231661	1
Melibiose_Utilization	0.005027833012341063	0.4333585917852124	5
Hexitol_degradation	0.004946837309953243	0.5167595875693797	1
CBSS-280355.3.peg.2835	0.004945470551000996	0.26970662397868744	3
Glycerate_metabolism	0.004902757404475317	0.6472852889265528	11
Glyoxylate-Hydroxypyruvate_Conversion	0.004902757404475317	0.6472852889265528	11
Photorespiration_(oxidative_C2_cycle)	0.004681642562743014	0.607917391239932	16
Unassigned	0.0045614499540383765	0.6044292092620787	2437
Proline,_4-hydroxyproline_uptake_and_utilization	0.004532278518703102	0.4762627977371542	4
Beta-Glucoside_Metabolism	0.004384215691713776	0.39467876914877453	8
COG3146_experimental	0.00437016095195766	0.7156771957564538	2
Calvin-Benson_cycle	0.004345054886094551	0.40811599096679946	5
Pterin_metabolism_3	0.00432406793284734	0.48772749638176977	3
Flavohaemoglobin	0.00431266291193406	0.46690982730625646	5
COG3533	0.004312012249975583	0.4560075096074631	9
Acetoin,_butanediol_metabolism	0.004274072489038354	0.5580120024832724	6
Serine_Biosynthesis	0.004222186409283736	0.5742485274324693	2
Ethanolamine_utilization	0.004189960785170544	0.8958195089581951	1
Deoxyribose_and_Deoxynucleoside_Catabolism	0.004159573489018196	0.7474284343916853	4
Nitrate_and_nitrite_ammonification	0.0041571491195278604	0.29827883263178534	1
Soluble_cytochromes_and_functionally_related_electron_carriers	0.0041571491195278604	0.29827883263178534	1
Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	0.0041534927134984495	0.7659359845456815	8
Glycolate,_glyoxylate_interconversions	0.004054156623778024	0.5855624380114606	5
The_Tartronate_Semialdehyde_Hub	0.003988277066859109	0.682550192450728	14
YgfZ-Fe-S_clustering	0.003953066741093601	0.6029936407406918	3
Lactose_utilization	0.003924638092480106	0.6536434823285685	2
Major_Outer_Membrane_Proteins	0.003907189552926301	0.3760992612339712	2
CBSS-83332.1.peg.1531	0.003900173083879249	0.8215433985665457	2
CBSS-83332.1.peg.3803	0.003900173083879249	0.8215433985665457	2
Unsaturated_Fatty_Acid_Metabolism	0.003900173083879249	0.8215433985665457	2
Branched-Chain_Amino_Acid_Biosynthesis	0.0037907056392382735	0.3098789111100956	12
Catechol_branch_of_beta-ketoadipate_pathway	0.00377456053723451	0.5931753429566248	2
Nucleolar_protein_complex	0.00377456053723451	0.5931753429566248	1
Protocatechuate_branch_of_beta-ketoadipate_pathway	0.00377456053723451	0.5931753429566248	2
eukaryotic_rRNA_modification_and_related_functions	0.00377456053723451	0.5931753429566248	1
Fructooligosaccharides(FOS)_and_Raffinose_Utilization	0.003755591815615039	0.4199922914276658	13
Biotin_biosynthesis	0.0037070981854318637	0.7178564278316881	3
Propionyl-CoA_to_Succinyl-CoA_Module	0.003699586920090031	0.26798789445056775	1
Chorismate_Synthesis	0.003626441503389412	0.0765169834928562	5
CBSS-83331.1.peg.3039	0.003537932563511314	0.04463015647226165	1
COG1836	0.003537932563511314	0.04463015647226165	1
Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis	0.003537932563511314	0.04463015647226165	1
Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	0.0035354292334340174	0.15302092538610884	4
Pseudomonas_quinolone_signal_PQS	0.0035354292334340174	0.15302092538610884	4
ArsR_methyltransferase_fusion	0.0035318916258499076	0.4387259694052664	5
UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	0.0035185395530094965	0.11427926416538288	2
Inorganic_Sulfur_Assimilation	0.003471122952431416	0.23308113238874859	7
PROSC	0.003441465967966826	0.4686013312723071	5
Isoprenoid_Biosynthesis	0.0034294404760242037	0.27755632141711734	2
Respiratory_dehydrogenases_1	0.0034190087801527166	0.6539015389821609	5
5-FCL-like_protein	0.0033834901731748857	0.7732397624917078	3
One-carbon_metabolism_by_tetrahydropterines	0.0033834901731748857	0.7732397624917078	3
SigmaB_stress_responce_regulation	0.0033831578074385305	0.33708048224177267	1
Phenylalanine_synthesis	0.0033514494122213303	0.09489360985746378	2
Archaeal_lipids	0.0033209483885370933	0.510482486361973	1
CBSS-246196.1.peg.364	0.0033209483885370933	0.510482486361973	1
Mevalonate_Branch_of_Isoprenoid_Biosynthesis	0.0033209483885370933	0.510482486361973	1
Menaquinone_and_Phylloquinone_Biosynthesis	0.0033086034750562546	0.25072133383534556	2
Methionine_Degradation	0.0032928544787181368	0.2112459513722799	2
Phenylalanine_and_Tyrosine_Branches_from_Chorismate	0.0031844336492600485	0.09484717923933479	7
Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)	0.0031844336492600485	0.09484717923933479	7
Phosphate_metabolism	0.003141713880219605	0.5243436991538656	6
Acetone_Butanol_Ethanol_Synthesis	0.003114580743637426	0.7324494944253876	6
Folate_Biosynthesis	0.0031063372718398412	0.5616465903722198	3
Folate_Biosynthesis_(Phoenix_Copy)	0.0031063372718398412	0.5616465903722198	3
Serine-glyoxylate_cycle	0.0031012944595808166	0.5588343542281369	27
Aromatic_amino_acid_degradation	0.00306694000953972	0.7255270964816569	1
Plastoquinone_Biosynthesis	0.00306694000953972	0.7255270964816569	1
Tocopherol_Biosynthesis	0.00306694000953972	0.7255270964816569	1
Glyoxylate_bypass	0.003043222143114556	0.6143688538685959	7
Fatty_acid_degradation_regulons	0.0030259493139738387	0.7883923208737661	4
YgfZ-Fe-S	0.0029833281879932585	0.41114655469105904	5
CR_clusters_Euk_3	0.0029299425896364317	0.6809483091242194	4
CR_clusters_Euk_6_lactateDehB	0.0029299425896364317	0.6809483091242194	4
Carbonate_Biomineralization	0.0029276162891194203	0.8810289323776971	3
D-Sorbitol(D-Glucitol)_and_L-Sorbose_Utilization	0.002762617552617504	0.3285784692813786	2
Fermentations:_Lactate	0.0026248993345274097	0.7970613940448041	7
Pterin_carbinolamine_dehydratase	0.0026246395405160397	0.4100478460061089	2
Lactate_utilization	0.0025761089381614896	0.6425696061405999	5
Sugar_utilization_in_Thermotogales	0.0025734750405959654	0.3759713177178761	6
pyrimidine_conversions	0.002542972078734825	0.8315962590711692	8
pyrimidine_conversions_v2	0.002542972078734825	0.8315962590711692	8
Glycine_and_Serine_Utilization	0.0025408780502851926	0.42084607071584956	8
Alginate_metabolism	0.0025367598193231453	0.2684641666209647	2
riboflavin_to_FAD	0.0025284236981375965	0.052697272613028735	1
Iron-sulfur_experimental	0.002498609107729645	0.3709152953322613	11
Ammonia_assimilation	0.002462508838889338	0.0775523514765384	1
n-Phenylalkanoic_acid_degradation	0.0024613794584135407	0.830713856699013	5
Propanediol_utilization	0.0024601778316096093	1.0	1
NhaA	0.002422606212065356	0.38656749435519266	1
Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	0.0024224433541910934	0.13217466400553615	6
CBSS-261591.3.peg.3916	0.0024160528423323186	0.23580010039104513	2
Coenzyme_A_Biosynthesis	0.0023437681074003395	0.18306386070660982	3
Galactosylceramide_and_Sulfatide_metabolism	0.002339643132862145	0.5710256701904006	7
Riboflavin,_FMN_and_FAD_metabolism	0.0023049237929545947	0.24961195531927535	6
Polyhydroxybutyrate_metabolism	0.002295740159495921	0.7651917562609312	15
HMG_CoA_Synthesis	0.002295498236336025	0.43055113507605747	8
Homogentisate_pathway_of_aromatic_compound_degradation	0.002240084627716796	0.2595100532898471	4
tRNA_modification_Archaea_Henri	0.002193173840363094	0.34806929667239866	1
Bacterial_hemoglobins	0.00219273044499081	0.4733724825918798	2
Glutaredoxins	0.00219273044499081	0.4733724825918798	2
Sucrose_utilization	0.0021909235850438883	0.515090225374425	5
Histidine_Biosynthesis	0.0021823390714923595	0.09456859553056085	1
XXBOB	0.0021823390714923595	0.09456859553056085	1
Maltose_and_Maltodextrin_Utilization	0.0021783918317843753	0.4407272770143964	27
Biphenyl_Degradation	0.0020971735757682668	0.9278182609083755	2
Cinnamic_Acid_Degradation	0.0020971735757682668	0.9278182609083755	2
Formaldehyde_assimilation:_Ribulose_monophosphate_pathway	0.002092182465713261	0.42213997718885665	2
Dimethylarginine_metabolism	0.002045612514574437	0.17805382646388815	1
Acetyl-CoA_fermentation_to_Butyrate	0.001978276947750445	0.8123596821992665	8
Arginine_Deiminase_Pathway	0.0019463213854710377	1.0	1
Methylglyoxal_Metabolism	0.0019423818937639211	0.620971300570608	5
Trehalose_Uptake_and_Utilization	0.0019315581697567522	0.35122766842618564	14
Branched_chain_amino_acid_degradation_regulons	0.001930081130461399	0.5523495742036268	12
Pectin_degradation	0.001923311586043571	0.34539226529660527	1
Fumarate_respiration_and_methabolism	0.0019122779890107622	0.5508730561471584	9
Ribitol,_Xylitol,_Arabitol,_Mannitol_and_Sorbitol_utilization	0.001870281179587159	0.33571871665170977	3
oxaloacetate_to_2-oxoglutarate_module	0.0018654133654335125	0.4029631630342937	5
MLST	0.0018576103744288963	0.6239387221725832	2
Leucine_Degradation_and_HMG-CoA_Metabolism	0.0018329544580339523	0.5034356493743121	11
Muconate_lactonizing_enzyme_family	0.0017971821426362282	0.1640036722625804	1
D-gluconate_and_ketogluconates_metabolism	0.0017665282023244045	0.6313609909321394	4
Pyridoxin_(Vitamin_B6)_Biosynthesis	0.0017602804503500148	0.2783808158382676	3
D-Galacturonate_Utilization	0.0017356594956725794	0.36826632161517686	5
CBSS-83333.1.peg.4037	0.0017155578609555082	0.41854958486804106	2
De_Novo_Pyrimidine_Synthesis	0.001706472238634779	0.2667531517556722	6
Hypothetical_Related_to_Dihydroorotate_dehydrogenase	0.0017064722386347787	0.26675315175567227	2
D-galactarate,_D-glucarate_and_D-glycerate_catabolism	0.0016934602825815115	0.601433280833573	13
Tryptophan_catabolism	0.0015746457939165297	0.7430641629563206	4
YgfZ	0.0015342838140508042	0.38143540464392073	13
Biogenesis_of_c-type_cytochromes	0.0015287203583427445	0.12337592561660982	1
Urea_decomposition	0.0015228703242741116	0.15555555555555567	7
Transport_of_Nickel_and_Cobalt	0.0015228703242741114	0.15555555555555567	1
Anaerobic_benzoate_metabolism	0.0015123008425998584	0.836827495453991	3
Experimental_Sulfur_transfer_Archaea	0.0015072544394402051	0.23608914450035945	1
Glyoxylate_Synthesis	0.0015046767423979475	0.26336649690606606	3
Gamma-aminobutyrate_(GABA)_shunt	0.0014808608010851681	0.7560017263845955	9
Central_meta-cleavage_pathway_of_aromatic_compound_degradation	0.0014725122515209651	0.9518788406055837	3
D-Tagatose_and_Galactitol_Utilization	0.001466432453006436	0.5336689525215309	2
Isobutyryl-CoA_to_Propionyl-CoA_Module	0.0013740913038589088	0.7651504150226967	4
Sulfate_assimilation	0.001343347833105808	0.26589596056249953	2
Superpathway_of_cysteine_biosynthesis	0.001343347833105808	0.26589596056249953	2
Isoleucine_degradation	0.001330581458941226	0.7912448133535082	9
Experimental_-_hydroxyproline_metabolism	0.0013292618535872438	0.30638800107668746	1
Xylose_utilization	0.0013292618535872438	0.30638800107668746	1
Experimental-COG3533	0.0013005144071481848	0.4623595107067409	3
L-Arabinose_utilization	0.0013005144071481848	0.4623595107067409	3
Novel_non-oxidative_pathway_of_Uracil_catabolism	0.0011687459925850843	0.20593471810089028	4
Hexose_Phosphate_Uptake_System	0.001107698445015256	0.3073611338658732	2
Ammonium_metabolism_H._pylori	0.0010871901147067422	0.2865934879672365	2
Glycerol_fermenation_to_1,3-propanediol	0.0010612090337566115	0.4631087091418862	1
Osmoregulation	0.0010612090337566115	0.4631087091418862	1
TCA_Cycle	0.0010591257646730577	0.3758693181647606	32
NAD_and_NADP_cofactor_biosynthesis_global	0.0010521180120647926	0.5583100650042658	2
Quinolinic_acid_and_its_derivatives	0.0010521180120647926	0.5583100650042658	2
S-Adenosylhomocysteine_and_S-Methylthioadenosine_metabolism	0.0009897432745125797	0.5654944418102312	3
CRnot_mitoch_clusters_Euk_1	0.0009570417261934261	0.4930100546843339	8
Cysteine_Biosynthesis	0.0009484517099213721	0.2964899218547744	4
Sulfate_Assimilation_Shewanella	0.0009484517099213721	0.2964899218547744	4
Fructose_utilization	0.0009385592842388049	0.5310082867257757	4
Entner-Doudoroff_Pathway	0.0008555136800290471	0.6312048162865851	9
Sucrose_utilization_Shewanella	0.0008534421750097535	0.3283882095506507	1
Valine_degradation	0.0008183026367490489	0.8714626210653753	7
Trehalose_Biosynthesis	0.0008058048645286708	0.3611583645944726	5
Dehydrogenase_complexes	0.0007856377065677685	0.49139830146067254	5
CBSS-344610.3.peg.2335	0.0007846294132330554	0.11860364267561527	2
High_affinity_phosphate_transporter_and_control_of_PHO_regulon	0.000777320398970462	0.6826528991971454	4
Phosphate-binding_DING_proteins	0.000777320398970462	0.6826528991971454	1
Acetyl-CoA_pathway_of_CO2_fixation	0.0007644741409455858	0.8223684210526316	2
Lipoic_acid_metabolism	0.000759570587993216	0.6834422647962166	1
Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	0.0007277406970386555	0.6002518335625397	2
Sugar_utilization_in_Thermotoga	0.0007171691542020793	0.5436602953769497	3
ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	0.0007129476971719929	0.4365074576820521	8
P_uptake_(cyanobacteria)	0.0007001229299301316	0.514479005834559	4
Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	0.0006091123969562892	0.3982035391453878	5
Glycogen_metabolism	0.0005500201873037913	0.5363897172932629	4
Benzoate_transport_and_degradation_cluster	0.0005316506816903383	0.2731811481288331	1
Arginine_Biosynthesis	0.0005017006995329161	0.6808797317819352	6
ZZ_gjo_need_homes	0.0004926259725656088	0.7799505262365104	3
Lipid_A-Ara4N_pathway_(_Polymyxin_resistance_)	0.0004918594905505949	0.3575587549294192	1
Teichuronic_acid_biosynthesis	0.0004918594905505949	0.3575587549294192	1
Arginine_Biosynthesis_extended	0.0004435864484369783	0.726468341527373	7
Adenosyl_nucleosidases	0.0004404527163972204	0.8045897079276774	2
Xanthosine_utilization_(xap_region)	0.0004404527163972204	0.8045897079276774	2
Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	0.0004199149370700778	0.79786003470214	1
Triacylglycerol_metabolism	0.0003529352745211096	0.8273490076278922	5
Folate_Biosynthesis_(Phoenix_copy)_	0.00034874478894301894	0.5049786628733997	2
CMP-N-acetylneuraminate_Biosynthesis	0.0003014702461091001	0.4390681003584228	1
Legionaminic_Acid_Biosynthesis	0.0003014702461091001	0.4390681003584228	1
Lipopolysaccharide_biosynthesis_2	0.0003014702461091001	0.4390681003584228	1
Streptococcus_agalactiae_virulome	0.0003014702461091001	0.4390681003584228	1
Vibrio_Polysaccharide_(VPS)_Biosynthesis	0.0003014702461091001	0.4390681003584228	1
CBSS-393133.3.peg.2787	0.0002936613423029049	0.3584361387797375	1
YHI9	0.0002936613423029049	0.3584361387797375	1
Glutathione_analogs:_mycothiol	0.0002485961284474444	0.8590483590483591	2
Synechocystis_experimental	0.0002485961284474444	0.8590483590483591	2
Queuosine-Archaeosine_Biosynthesis	0.00022895905507689765	1.0	1
CBSS-323850.3.peg.3269	0.00022656186407536902	0.3479456330872905	1
CBSS-84588.1.peg.1247	0.00022656186407536902	0.3479456330872905	1
COG0523_and_iron	0.00022442672466140858	0.4952774468597034	1
4-Hydroxyphenylacetic_acid_catabolic_pathway	0.0002231896030263616	1.0	1
Aromatic_Amin_Catabolism	0.0002231896030263616	1.0	1
CO2_uptake,_carboxysome	0.00020651881914681702	0.4120187650245775	3
AMP_to_3-phosphoglycerate	0.00020651881914681702	0.41201876502457757	1
Carboxysome	0.00020651881914681702	0.41201876502457757	2
Carboxysome_FM_working_copy	0.00020651881914681702	0.41201876502457757	2
Chlorophyll_Biosynthesis	0.00020651881914681702	0.41201876502457757	2
Acid_resistance_mechanisms	0.00019327663565718686	0.7430818431014229	2
Putrescine_utilization_pathways	0.00015834679846324148	0.7473118279569892	1
CBSS-232721.5.peg.360	0.00014308916957743857	1.0	1
Citrate_Metabolism,_Transport,_and_Regulation	0.00013666625256461036	0.7193218198634034	3
CBSS-1806.1.peg.1285	0.00010981316996055086	0.0118629374458184	2
Pyrimidine_utilization	0.00010637299751800342	0.35707220573689413	1
slr0575	9.490094186135164e-05	1.0	1
Gentisare_degradation	7.961970900043524e-05	0.8258737223870756	1
Phenylpropanoid_compound_degradation	7.961970900043524e-05	0.8258737223870756	1
Salicylate_and_gentisate_catabolism	7.961970900043524e-05	0.8258737223870756	1
Salicylate_ester_degradation	7.961970900043524e-05	0.8258737223870756	1
Cobalt-zinc-cadmium_resistance	6.612837936482162e-05	1.0	1
cAMP_signaling_in_bacteria	5.481408982535787e-05	0.6702127659574469	1
Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	4.996850514585948e-05	0.0017104207268141547	1
Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	3.3564693322581536e-05	1.0	1
Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase	3.3564693322581536e-05	1.0	1
Glutathione-regulated_potassium-efflux_system_and_associated_functions	3.3564693322581536e-05	1.0	1
Hyperosmotic_potassium_uptake	3.3564693322581536e-05	1.0	3
Multiple_resistance_and_pH-related_antiporter_Mrp	3.3564693322581536e-05	1.0	2
Potassium_homeostasis_Pavel	3.3564693322581536e-05	1.0	5
rRNA_methylation_in_clusters	3.3564693322581536e-05	1.0	1
Potassium_homeostasis	2.9235577026930757e-05	1.0	6
Succinate_dehydrogenase	1.2515275355540486e-05	1.0	8
TrmE_experimental	1.2515275355540486e-05	1.0	1
XXBobCopyTrmE	1.2515275355540486e-05	1.0	1
Biogenesis_of_cbb3-type_cytochrome_c_oxidases	3.3712142633378257e-06	0.678536102868447	4
Terminal_cytochrome_C_oxidases	3.3712142633378257e-06	0.6785361028684471	20
Terminal_cytochrome_C_oxidases_copy	3.3712142633378257e-06	0.6785361028684471	20
Alanine_biosynthesis	0.0	0.25797872340425543	1
Menaquinone_Biosynthesis_via_Futalosine	0.0	1.0	2
